path,type,required,parent,description
/,object,no,,"Digital Product Passport (Textile) v1"
/product,object,yes,,""
/product,object,no,,""
/product/name,object,yes,/product,"Key = language code (e.g., cs, en). At least one language required."
/product/name,object,no,/product,"Key = language code (e.g., cs, en). At least one language required."
/product/name/*,string,no,/product/name,""
/product/name/*,string,no,/product/name,""
/product/category,object,yes,/product,""
/product/category,object,no,/product,""
/product/category/code,string,yes,/product/category,""
/product/category/code,string,no,/product/category,""
/product/category/labels,object,no,/product/category,"Key = language code (e.g., cs, en). At least one language required."
/product/category/labels,object,no,/product/category,"Key = language code (e.g., cs, en). At least one language required."
/product/category/labels/*,string,no,/product/category/labels,""
/product/category/labels/*,string,no,/product/category/labels,""
/product/description,object,yes,/product,"Key = language code (e.g., cs, en). At least one language required."
/product/description,object,no,/product,"Key = language code (e.g., cs, en). At least one language required."
/product/description/*,string,no,/product/description,""
/product/description/*,string,no,/product/description,""
/brand,object,yes,,""
/brand,object,no,,""
/brand/legal_name,string,yes,/brand,""
/brand/legal_name,string,no,/brand,""
/brand/country_code,string,yes,/brand,""
/brand/country_code,string,no,/brand,""
/brand/contact,object,yes,/brand,""
/brand/contact,object,no,/brand,""
/brand/contact/url,string,yes,/brand/contact,""
/brand/contact/url,string,no,/brand/contact,""
/manufacturing,object,yes,,""
/manufacturing,object,no,,""
/manufacturing/country_of_origin,string,yes,/manufacturing,""
/manufacturing/country_of_origin,string,no,/manufacturing,""
/manufacturing/tier1,object,yes,/manufacturing,""
/manufacturing/tier1,object,no,/manufacturing,""
/manufacturing/tier1/facility_name,string,no,/manufacturing/tier1,""
/manufacturing/tier1/facility_name,string,no,/manufacturing/tier1,""
/manufacturing/tier1/facility_country_code,string,no,/manufacturing/tier1,""
/manufacturing/tier1/facility_country_code,string,no,/manufacturing/tier1,""
/manufacturing/tier1/withheld_reason,string,no,/manufacturing/tier1,""
/manufacturing/tier1/withheld_reason,string,no,/manufacturing/tier1,""
/materials,array,yes,,"Sum of share_percent across all items must equal 100 (checked in validation script)."
/materials,array,no,,"Sum of share_percent across all items must equal 100 (checked in validation script)."
/materials/*,object,no,/materials,""
/materials/*,object,no,/materials,""
/materials/*/origin,object,no,/materials/*,"Optional origin of raw material. Use 'countries' if shares are unknown, or 'breakdown' with % shares."
/materials/*/origin,object,no,/materials/*,"Optional origin of raw material. Use 'countries' if shares are unknown, or 'breakdown' with % shares."
/materials/*/origin/countries,array,no,/materials/*/origin,""
/materials/*/origin/countries,array,no,/materials/*/origin,""
/materials/*/origin/countries/*,string,no,/materials/*/origin/countries,""
/materials/*/origin/countries/*,string,no,/materials/*/origin/countries,""
/materials/*/origin/breakdown,array,no,/materials/*/origin,""
/materials/*/origin/breakdown,array,no,/materials/*/origin,""
/materials/*/origin/breakdown/*,object,no,/materials/*/origin/breakdown,""
/materials/*/origin/breakdown/*,object,no,/materials/*/origin/breakdown,""
/materials/*/origin/breakdown/*/country_code,string,yes,/materials/*/origin/breakdown/*,""
/materials/*/origin/breakdown/*/country_code,string,no,/materials/*/origin/breakdown/*,""
/materials/*/origin/breakdown/*/share_percent,number,yes,/materials/*/origin/breakdown/*,""
/materials/*/origin/breakdown/*/share_percent,number,no,/materials/*/origin/breakdown/*,""
/materials/*/material_code,string,yes,/materials/*,""
/materials/*/material_code,string,no,/materials/*,""
/materials/*/share_percent,number,yes,/materials/*,""
/materials/*/share_percent,number,no,/materials/*,""
/materials/*/recycled_content_percent,number,yes,/materials/*,""
/materials/*/recycled_content_percent,number,no,/materials/*,""
/care,object,yes,,""
/care,object,no,,""
/care/symbols,array,no,/care,""
/care/symbols,array,no,/care,""
/care/symbols/*,string,no,/care/symbols,""
/care/symbols/*,string,no,/care/symbols,""
/care/text,object,no,/care,"Key = language code (e.g., cs, en). At least one language required."
/care/text,object,no,/care,"Key = language code (e.g., cs, en). At least one language required."
/care/text/*,string,no,/care/text,""
/care/text/*,string,no,/care/text,""
/compliance,object,yes,,""
/compliance,object,no,,""
/compliance/reach_status,string,yes,/compliance,""
/compliance/reach_status,string,no,/compliance,""
/compliance/safety_notes,string,no,/compliance,""
/compliance/safety_notes,string,no,/compliance,""
/durability_repair,object,yes,,""
/durability_repair,object,no,,""
/durability_repair/warranty_months,integer,yes,/durability_repair,""
/durability_repair/warranty_months,integer,no,/durability_repair,""
/durability_repair/repair_options,object,yes,/durability_repair,""
/durability_repair/repair_options,object,no,/durability_repair,""
/durability_repair/repair_options/url,string,yes,/durability_repair/repair_options,""
/durability_repair/repair_options/url,string,no,/durability_repair/repair_options,""
/end_of_life,object,yes,,""
/end_of_life,object,no,,""
/end_of_life/recyclability_class,string,yes,/end_of_life,""
/end_of_life/recyclability_class,string,no,/end_of_life,""
/end_of_life/guidance,object,yes,/end_of_life,"Key = language code (e.g., cs, en). At least one language required."
/end_of_life/guidance,object,no,/end_of_life,"Key = language code (e.g., cs, en). At least one language required."
/end_of_life/guidance/*,string,no,/end_of_life/guidance,""
/end_of_life/guidance/*,string,no,/end_of_life/guidance,""
/traceability,object,no,,""
/traceability,object,no,,""
/traceability/dpp_url,string,no,/traceability,""
/traceability/dpp_url,string,no,/traceability,""
/identifiers,object,no,,""
/identifiers,object,no,,""
/identifiers/dpp_id,string,no,/identifiers,""
/identifiers/dpp_id,string,no,/identifiers,""
/identifiers/sku,string,no,/identifiers,""
/identifiers/sku,string,no,/identifiers,""
/identifiers/external_ids,array,no,/identifiers,""
/identifiers/external_ids,array,no,/identifiers,""
/identifiers/external_ids/*,string,no,/identifiers/external_ids,""
/identifiers/external_ids/*,string,no,/identifiers/external_ids,""
/meta,object,yes,,""
/meta,object,no,,""
/meta/schema_version,string,yes,/meta,""
/meta/schema_version,string,no,/meta,""
/meta/created_at,string,yes,/meta,""
/meta/created_at,string,no,/meta,""
/meta/data_owner,string,yes,/meta,""
/meta/data_owner,string,no,/meta,""
/meta/status,string,yes,/meta,""
/meta/status,string,no,/meta,""
/meta/ai_estimate,boolean,no,/meta,""
/meta/ai_estimate,boolean,no,/meta,""
/meta/confidence,number,no,/meta,""
/meta/confidence,number,no,/meta,""
/meta/sources,array,no,/meta,""
/meta/sources,array,no,/meta,""
/meta/sources/*,object,no,/meta/sources,""
/meta/sources/*,object,no,/meta/sources,""
/meta/sources/*/field_path,string,yes,/meta/sources/*,""
/meta/sources/*/field_path,string,no,/meta/sources/*,""
/meta/sources/*/type,string,yes,/meta/sources/*,""
/meta/sources/*/type,string,no,/meta/sources/*,""
/meta/sources/*/title,string,yes,/meta/sources/*,""
/meta/sources/*/title,string,no,/meta/sources/*,""
/meta/sources/*/url,string,no,/meta/sources/*,""
/meta/sources/*/url,string,no,/meta/sources/*,""
/meta/sources/*/date,string,yes,/meta/sources/*,""
/meta/sources/*/date,string,no,/meta/sources/*,""
/meta/sources/*/confidence,number,no,/meta/sources/*,""
/meta/sources/*/confidence,number,no,/meta/sources/*,""
